jobapply,jobarea,jobcompany,jobdate,jobedu,jobexp,jobindcat,jobname,jobsalary
0~5人應徵,台北市中正區,貝里斯商倍利國際有限公司台灣分公司,4/19,大學,2年以上,電腦系統整合服務業,後端工程師,待遇面議
0~5人應徵,台北市內湖區,有夢娛樂科技股份有限公司,4/23,大學,3年以上,其它軟體及網路相關業,資深前端工程師,待遇面議
0~5人應徵,台北市北投區,華碩電腦股份有限公司,1/16,大學,5年以上,電腦及其週邊設備製造業,RD20367 資深雲端研發工程師,待遇面議
0~5人應徵,台北市內湖區,網際威信股份有限公司,4/19,專科,3年以上,網際網路相關業,研發處-專案經理,待遇面議
0~5人應徵,新北市新店區,威力工業網絡股份有限公司,4/18,大學,2年以上,電腦系統整合服務業,DevOps Engineer,待遇面議
0~5人應徵,台北市內湖區,網際威信股份有限公司,4/19,專科,2年以上,網際網路相關業,研發處-技術研發工程師,待遇面議
0~5人應徵,台北市中山區,塞席爾商悠福科技股份有限公司,2/22,大學,經歷不拘,網際網路相關業,後端工程師 Backend Engineer 專職/長期實習,待遇面議
6~10人應徵,台北市信義區,柯賓漢數位金融科技有限公司,4/18,大學,經歷不拘,網際網路相關業,ENGINEERING - Senior Backend Developer,"月薪 85,000~180,000元"
0~5人應徵,台北市北投區,華碩電腦股份有限公司,12/10,大學,經歷不拘,電腦及其週邊設備製造業,RD20365 雲存儲系統Ceph軟體工程師,"月薪 30,000~70,000元"
0~5人應徵,台北市內湖區,荃方科技股份有限公司,4/23,專科,2年以上,電腦軟體服務業,Website Developer - 後端工程師,待遇面議
0~5人應徵,台中市西屯區,弈樂科技股份有限公司,4/25,大學,1年以上,網際網路相關業,全端工程師,"月薪 28,000~60,000元"
0~5人應徵,台中市西區,中強光電股份有限公司,4/23,碩士,2年以上,光電產業,"研發類-無人搬運車隊管理系統Back-end 後端資深工程師(AIRD,台中)",待遇面議
0~5人應徵,台北市內湖區,岱鐠科技有限公司,4/20,大學,5年以上,電腦及其週邊設備製造業,【紐沃科技】Middleware Senior Engineer,待遇面議
11~30人應徵,新北市新店區,希格斯資訊科技有限公司,4/24,專科,4年以上,電腦軟體服務業,全端 (前/後端) 軟體工程師 (.NET C#),"月薪 48,000~90,000元"
6~10人應徵,台中市西屯區,齊力科技有限公司,4/22,高中,1年以上,電腦軟體服務業,後端工程師,"月薪 45,000~70,000元"
0~5人應徵,台北市松山區,SIIVA_之煒有限公司,4/10,專科,經歷不拘,電腦軟體服務業,後端工程師,待遇面議
0~5人應徵,台北市內湖區,天火數位股份有限公司,4/08,專科,經歷不拘,電子通訊／電腦週邊零售業,Unity遊戲程式設計師,"月薪 40,000~60,000元"
0~5人應徵,台北市內湖區,皆凱科技有限公司,4/22,專科,3年以上,電腦軟體服務業,PHP工程師,待遇面議
0~5人應徵,新竹縣竹東鎮,豐趣科技股份有限公司,4/23,專科,經歷不拘,網際網路相關業,IOT軟體開發工程師 / IOT Software Engineer,"月薪 35,000~60,000元"
0~5人應徵,彰化縣福興鄉,至鴻科技股份有限公司,4/23,大學,經歷不拘,其他電子零組件相關業,軟體工程師,"月薪 28,000~40,000元"
11~30人應徵,台北市內湖區,艾米科技有限公司,4/25,專科,經歷不拘,電腦軟體服務業,C / IOT 程式設計師,待遇面議
0~5人應徵,新竹市,中強光電股份有限公司,4/24,大學,5年以上,光電產業,研發類-雲端後台系統開發工程師(CIRC),待遇面議
0~5人應徵,台北市南港區,香港商一加科技有限公司台灣分公司,4/24,大學,2年以上,電腦軟體服務業,DevOps Software Engineer,待遇面議
